URL,Rule,Violation description,Volation Type,Impact,LEVEL,HTML Element,Messages,DOM Element
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="content-block__title">                    <h3>Data center sustainability</h3>                                    </div>,Some page content is not contained by landmarks,#tab-nCJIfeP > .card-row-container.section > .card-row-wrapper.card-row--overflow-right > .card-row-full-width-wrap > .card-wrapper.section:nth-child(2) > .card-container > .contentBlock.text-dark.section > .content-block > .content-block__title
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="content-block__description">                    <p>Distribute data with seamless interconnection at scale- providing low latency- control and security.</p></div>,Some page content is not contained by landmarks,#tab-nCJIfeP > .card-row-container.section > .card-row-wrapper.card-row--overflow-right > .card-row-full-width-wrap > .card-wrapper.section:nth-child(1) > .card-container > .contentBlock.text-dark.section > .content-block > .content-block__description
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="content-block__description">                    <p>Support your sustainability goals and simplify reporting and compliance.</p></div>,Some page content is not contained by landmarks,#tab-nCJIfeP > .card-row-container.section > .card-row-wrapper.card-row--overflow-right > .card-row-full-width-wrap > .card-wrapper.section:nth-child(2) > .card-container > .contentBlock.text-dark.section > .content-block > .content-block__description
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="content-block__description">                    <p>Ready to deploy data centers with more power- space- and cooling.</p></div>,Some page content is not contained by landmarks,#tab-nCJIfeP > .card-row-container.section > .card-row-wrapper.card-row--overflow-right > .card-row-full-width-wrap > .card-wrapper.section:nth-child(3) > .card-container > .contentBlock.text-dark.section > .content-block > .content-block__description
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="col-xs-12 col-md-6 col-lg-6">,Some page content is not contained by landmarks,.col-md-6.col-lg-6.col-xs-12:nth-child(1)
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="text text-white section"><div class="cmp-text">    <p>&nbsp;</p><p>Assemble infrastructure in minutes- place workloads near customers and secure it all with industry-leading interconnection.</p></div>    </div>,Some page content is not contained by landmarks,.text-white.text.section
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="sectionwrapper fade-from-bottom section">,Some page content is not contained by landmarks,.fade-from-bottom.sectionwrapper.section:nth-child(3)
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="sectionwrapper">,Some page content is not contained by landmarks,.cmp-container > .sectionwrapper:nth-child(1)
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="image">,Some page content is not contained by landmarks,.col-md-4.col-lg-4.col-xs-12:nth-child(1) > .image
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="content-block__title">                    <h3>AI-ready data center</h3>                                    </div>,Some page content is not contained by landmarks,#tab-nCJIfeP > .card-row-container.section > .card-row-wrapper.card-row--overflow-right > .card-row-full-width-wrap > .card-wrapper.section:nth-child(3) > .card-container > .contentBlock.text-dark.section > .content-block > .content-block__title
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="content-block__title">                    <h3>Inside a Digital Fortress: Touring an Equinix Data Center</h3>                                    </div>,Some page content is not contained by landmarks,.col-md-4.col-lg-4.col-xs-12:nth-child(1) > .contentBlock.text-dark > .content-block > .content-block__title
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="sectionwrapper fade-from-bottom section">,Some page content is not contained by landmarks,.fade-from-bottom.sectionwrapper.section:nth-child(2)
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="content-block__title">                    <h3>Partner Solution Spotlight: NVIDIA</h3>                                    </div>,Some page content is not contained by landmarks,.col-md-4.col-lg-4.col-xs-12:nth-child(2) > .contentBlock.text-dark > .content-block > .content-block__title
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="content-block__description">                    <p>Get a behind-the-scenes tour of our cutting-edge Toronto data center.</p></div>,Some page content is not contained by landmarks,.col-md-4.col-lg-4.col-xs-12:nth-child(1) > .contentBlock.text-dark > .content-block > .content-block__description
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="image">,Some page content is not contained by landmarks,.col-md-4.col-lg-4.col-xs-12:nth-child(3) > .image
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="content-block__title">                    <h3>Enable multicloud routing easily- quickly- and cost-effectively</h3>                                    </div>,Some page content is not contained by landmarks,.col-md-4.col-lg-4.col-xs-12:nth-child(3) > .contentBlock.text-dark > .content-block > .content-block__title
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="content-block__description">                    <p>Explore an easier way to connect applications and data across different clouds.</p></div>,Some page content is not contained by landmarks,.col-md-4.col-lg-4.col-xs-12:nth-child(3) > .contentBlock.text-dark > .content-block > .content-block__description
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="content-block__description">                    <p>Leverage a turnkey- ready-to-run AI development platform&nbsp;powered by Equinix Private AI.&nbsp;</p></div>,Some page content is not contained by landmarks,.col-md-4.col-lg-4.col-xs-12:nth-child(2) > .contentBlock.text-dark > .content-block > .content-block__description
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="image">,Some page content is not contained by landmarks,.col-md-4.col-lg-4.col-xs-12:nth-child(2) > .image
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="be-ix-link-block">,Some page content is not contained by landmarks,.be-ix-link-block
https://www.equinix.com/,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<div class="footercta">,Some page content is not contained by landmarks,.footercta
https://www.mbusa.com/en/home,Elements must only use supported ARIA attributes,Ensure an element's role supports its ARIA attributes,aria-allowed-attr,critical,wcag2a,<div data-nav-id="nav-menu-vehicles--content" class="header__nav-menus_menu-item" aria-expanded="false">,,div[data-nav-id="nav-menu-vehicles--content"]
https://www.mbusa.com/en/home,Elements must only use supported ARIA attributes,Ensure an element's role supports its ARIA attributes,aria-allowed-attr,critical,wcag2a,<div data-nav-id="nav-menu-owners---content" class="header__nav-menus_menu-item" aria-expanded="false">,,div[data-nav-id="nav-menu-owners---content"]
https://www.mbusa.com/en/home,Elements must only use supported ARIA attributes,Ensure an element's role supports its ARIA attributes,aria-allowed-attr,critical,wcag2a,<div data-nav-id="nav-menu-electric--content" class="header__nav-menus_menu-item" aria-expanded="false">,,div[data-nav-id="nav-menu-electric--content"]
https://www.mbusa.com/en/home,Elements must only use supported ARIA attributes,Ensure an element's role supports its ARIA attributes,aria-allowed-attr,critical,wcag2a,<div data-nav-id="nav-menu-my-account--content" class="header__nav-menus_menu-item" aria-expanded="false">,,div[data-nav-id="nav-menu-my-account--content"]
https://www.mbusa.com/en/home,Elements must only use supported ARIA attributes,Ensure an element's role supports its ARIA attributes,aria-allowed-attr,critical,wcag2a,<div data-nav-id="nav-menu-search--content" class="header__nav-menus_menu-item" aria-expanded="false">,,div[data-nav-id="nav-menu-search--content"]
https://www.mbusa.com/en/home,Elements must only use supported ARIA attributes,Ensure an element's role supports its ARIA attributes,aria-allowed-attr,critical,wcag2a,<div data-nav-id="nav-menu-shopping--content" class="header__nav-menus_menu-item" aria-expanded="false">,,div[data-nav-id="nav-menu-shopping--content"]
https://www.mbusa.com/en/home,ARIA role should be appropriate for the element,Ensure role attribute has an appropriate value for the element,aria-allowed-role,minor,best-practice,<a href="/en/dealers" title="Find a Dealer" class="header__nav-item--link" data-analytics-trigger="cta" rel="noreferrer" tabindex="0" target="" role="listitem" id="nav-menu-find-a-dealer" data-uw-rm-brl="PR" data-uw-original-href="/en/dealers">,ARIA role listitem is not allowed for given element,#nav-menu-find-a-dealer
https://www.mbusa.com/en/home,ARIA role should be appropriate for the element,Ensure role attribute has an appropriate value for the element,aria-allowed-role,minor,best-practice,<video class="full-height-hero__video html5-video-player__video" data-poster-small="/content/dam/mb-nafta/us/homepage-redesign/PLB_CLA-SEDAN-M.jpg" data-poster-large="/content/dam/mb-nafta/us/homepage-redesign/PLB_CLA-SEDAN-L.jpg" data-src-small="/content/dam/mb-nafta/us/homepage-redesign/PLB_CLA-SEDAN-M.mp4" data-src-large="/content/dam/mb-nafta/us/homepage-redesign/PLB_CLA-SEDAN-L.mp4" loop="loop" role="presentation" playsinline="" muted="" poster="/content/dam/mb-nafta/us/homepage-redesign/PLB_CLA-SEDAN-L.jpg">,ARIA role presentation is not allowed for given element,video
https://www.mbusa.com/en/home,Certain ARIA roles must contain particular children,Ensure elements with an ARIA role that require child roles contain them,aria-required-children,critical,wcag2a,<div class="header__nav-container" id="nav-list" role="list" aria-label="main navigation">,Element has children which are not allowed: ul[tabindex],#nav-list
https://www.mbusa.com/en/home,Certain ARIA roles must be contained by particular parents,Ensure elements with an ARIA role that require parent roles are contained by them,aria-required-parent,critical,wcag2a,<span title="Shopping" class="header__nav-item--link" data-analytics-trigger="cta" tabindex="0" role="listitem" id="nav-menu-shopping" data-nav-index="2">,Required ARIA parent role not present: list,#nav-menu-shopping
https://www.mbusa.com/en/home,ARIA role should be appropriate for the element,Ensure role attribute has an appropriate value for the element,aria-allowed-role,minor,best-practice,<article class="multimedia-tile__slideshow-btn content-tile__tile--button content-tile--vehicle-overlay__tile--button" role="button" tabindex="0" aria-label="Calculating the EV life.">,ARIA role button is not allowed for given element,article[aria-label="Calculating the EV life."]
https://www.mbusa.com/en/home,Certain ARIA roles must be contained by particular parents,Ensure elements with an ARIA role that require parent roles are contained by them,aria-required-parent,critical,wcag2a,<span title="Electric" class="header__nav-item--link" data-analytics-trigger="cta" tabindex="0" role="listitem" id="nav-menu-electric" data-nav-index="1">,Required ARIA parent role not present: list,#nav-menu-electric
https://www.mbusa.com/en/home,ARIA role should be appropriate for the element,Ensure role attribute has an appropriate value for the element,aria-allowed-role,minor,best-practice,<article class="multimedia-tile__slideshow-btn content-tile__tile--button content-tile--vehicle-overlay__tile--button" role="button" tabindex="0" aria-label="Exceptional charging offers">,ARIA role button is not allowed for given element,article[aria-label="Exceptional charging offers"]
https://www.mbusa.com/en/home,Certain ARIA roles must be contained by particular parents,Ensure elements with an ARIA role that require parent roles are contained by them,aria-required-parent,critical,wcag2a,<span title="My Account" class="header__nav-item--link global-header__button                                                                global-header__button-utility-inner" data-analytics-trigger="cta" tabindex="0" role="listitem" id="nav-menu-my-account">,Required ARIA parent role not present: list,#nav-menu-my-account
https://www.mbusa.com/en/home,Certain ARIA roles must be contained by particular parents,Ensure elements with an ARIA role that require parent roles are contained by them,aria-required-parent,critical,wcag2a,<span title="Search" class="header__nav-item--link global-header__button                                global-header__button--search                                " data-analytics-trigger="cta" tabindex="0" role="listitem" id="nav-menu-search">,Required ARIA parent role not present: list,#nav-menu-search
https://www.mbusa.com/en/home,Certain ARIA roles must be contained by particular parents,Ensure elements with an ARIA role that require parent roles are contained by them,aria-required-parent,critical,wcag2a,<span title="Owners " class="header__nav-item--link" data-analytics-trigger="cta" tabindex="0" role="listitem" id="nav-menu-owners-" data-nav-index="3">,Required ARIA parent role not present: list,#nav-menu-owners-
https://www.mbusa.com/en/home,Certain ARIA roles must be contained by particular parents,Ensure elements with an ARIA role that require parent roles are contained by them,aria-required-parent,critical,wcag2a,<span title="Vehicles" class="header__nav-item--link" data-analytics-trigger="cta" tabindex="0" role="listitem" id="nav-menu-vehicles" data-nav-index="0">,Required ARIA parent role not present: list,#nav-menu-vehicles
https://www.mbusa.com/en/home,Certain ARIA roles must be contained by particular parents,Ensure elements with an ARIA role that require parent roles are contained by them,aria-required-parent,critical,wcag2a,<a href="/en/dealers" title="Find a Dealer" class="header__nav-item--link" data-analytics-trigger="cta" rel="noreferrer" tabindex="0" target="" role="listitem" id="nav-menu-find-a-dealer" data-uw-rm-brl="PR" data-uw-original-href="/en/dealers">,Required ARIA parent role not present: list,#nav-menu-find-a-dealer
https://www.mbusa.com/en/home,Elements must meet minimum color contrast ratio thresholds,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,color-contrast,serious,wcag2aa,<h3 class="content-tile__tile-heading content-tile--vehicle-overlay__tile-heading">                Exceptional charging offers            </h3>,Element has insufficient color contrast of 2.64 (foreground color: #9f9f9f- background color: #ffffff- font size: 12.0pt (16px)- font weight: bold). Expected contrast ratio of 4.5:1,article[aria-label="Exceptional charging offers"] > .content-tile--vehicle-overlay__tile-heading.content-tile__tile-heading
https://www.mbusa.com/en/home,Elements must meet minimum color contrast ratio thresholds,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,color-contrast,serious,wcag2aa,<p class="content-tile__tile-desc content-tile--vehicle-overlay__tile-desc rte" data-uw-rm-sr="">,Element has insufficient color contrast of 2.64 (foreground color: #9f9f9f- background color: #ffffff- font size: 12.0pt (16px)- font weight: normal). Expected contrast ratio of 4.5:1,article[aria-label="Exceptional charging offers"] > .content-tile--vehicle-overlay__tile-desc.rte.content-tile__tile-desc
https://www.mbusa.com/en/home,Interactive controls must not be nested,Ensure interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies,nested-interactive,serious,wcag2a,<article class="multimedia-tile__slideshow-btn content-tile__tile--button content-tile--vehicle-overlay__tile--button" role="button" tabindex="0" aria-label="Exceptional charging offers">,Element has focusable descendants,article[aria-label="Exceptional charging offers"]
https://www.mbusa.com/en/home,All page content should be contained by landmarks,Ensure all page content is contained by landmarks,region,moderate,best-practice,<img src="//rtb.adgrx.com/segments/-oIOeXZ-CMs4vVaXp_uIOYdz7eg_gPuABW7Cul9sjnM=/52201.gif" width="1" height="1" style="border: 0px;">,Some page content is not contained by landmarks,img[width="1"]
https://www.mbusa.com/en/home,Elements must meet minimum color contrast ratio thresholds,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,color-contrast,serious,wcag2aa,<div class="content-tile--vehicle-overlay__timeline-number">02</div>,Element has insufficient color contrast of 2.64 (foreground color: #9f9f9f- background color: #ffffff- font size: 12.0pt (16px)- font weight: bold). Expected contrast ratio of 4.5:1,article[aria-label="Exceptional charging offers"] > .content-tile--vehicle-overlay__timeline-container > .content-tile--vehicle-overlay__timeline-number
https://www.mbusa.com/en/home,Images must have alternative text,Ensure <img> elements have alternative text or a role of none or presentation,image-alt,critical,wcag2a,<img src="//rtb.adgrx.com/segments/-oIOeXZ-CMs4vVaXp_uIOYdz7eg_gPuABW7Cul9sjnM=/52201.gif" width="1" height="1" style="border: 0px;">,Element does not have an alt attribute--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty--Element has no title attribute--Element's default semantics were not overridden with role="none" or role="presentation",img[width="1"]
